N,P,K,temperature,humidity,ph,rainfall,label
111.7,51.4,49.3,24.61,84.8,6.32,225.92,rice
94.8,32.9,47.9,24.66,79.84,6.48,226.99,rice
82.5,53.7,43.5,27.56,92.62,6.63,239.73,rice
103.5,35.1,32.7,23.33,83.76,6.47,238.31,rice
96.5,47.5,47.1,24.26,80.21,6.19,224.78,rice
93.9,46.2,57.2,24.08,90.19,6.12,238.46,rice
80.9,47.0,50.2,23.29,82.07,6.61,261.96,rice
85.1,41.7,39.2,23.89,80.28,6.59,248.4,rice
82.6,60.0,32.9,24.82,83.74,7.05,231.58,rice
91.8,51.8,50.3,23.54,89.96,6.12,227.2,rice
91.5,41.9,30.9,26.56,86.05,5.78,248.01,rice
99.5,39.7,52.3,20.66,80.22,6.37,241.93,rice
93.1,48.6,35.2,26.68,84.87,6.26,229.28,rice
101.3,51.5,34.8,22.82,86.31,5.83,225.7,rice
95.8,38.4,54.9,21.37,76.66,6.02,236.6,rice
86.7,41.6,42.9,21.99,83.21,6.61,240.41,rice
81.4,53.3,43.3,25.27,86.1,6.3,245.5,rice
84.3,51.1,29.0,24.96,82.3,5.92,240.11,rice
85.7,61.8,43.6,28.21,85.12,6.16,239.77,rice
91.9,53.0,29.5,23.1,79.89,6.49,238.51,rice
92.6,51.7,40.6,25.16,80.67,6.3,240.22,rice
91.6,40.1,59.9,21.66,76.11,6.76,242.44,rice
93.1,42.6,30.8,23.16,82.02,6.42,237.22,rice
99.9,39.3,26.7,22.84,75.54,5.6,254.37,rice
91.4,42.6,38.9,27.09,86.72,6.69,240.07,rice
81.5,46.1,34.4,27.66,78.01,6.03,216.5,rice
96.4,35.3,46.9,24.17,81.38,7.17,229.53,rice
94.0,38.4,35.6,25.11,79.11,6.41,244.36,rice
90.7,44.1,42.4,19.37,81.08,6.74,257.12,rice
95.6,48.1,43.3,22.07,86.05,6.69,229.65,rice
77.6,50.0,52.1,22.7,83.26,6.54,247.97,rice
94.1,40.5,48.8,23.0,82.32,6.69,214.03,rice
96.9,39.5,37.4,26.02,87.01,6.17,223.75,rice
77.8,41.0,54.8,23.97,78.22,6.38,220.08,rice
89.3,51.9,30.7,25.34,88.54,6.7,229.49,rice
97.5,40.2,33.6,27.93,77.13,6.18,233.06,rice
90.7,56.3,48.4,26.32,85.29,6.51,219.4,rice
91.2,41.9,36.2,23.03,90.56,6.72,248.48,rice
81.4,47.0,40.2,24.19,85.54,6.38,237.53,rice
95.3,49.9,48.5,18.13,78.26,6.37,223.94,rice
81.3,29.0,47.3,22.93,78.49,6.93,230.47,rice
96.9,48.6,46.9,19.49,81.53,6.29,244.33,rice
112.3,57.7,52.3,20.64,83.06,6.35,219.05,rice
92.6,54.1,44.6,25.44,87.6,6.31,259.57,rice
83.1,45.4,41.6,22.72,76.2,6.74,258.36,rice
94.0,47.8,39.1,24.52,84.54,6.37,228.86,rice
69.6,46.8,53.3,23.72,76.03,6.17,216.91,rice
73.4,57.6,43.4,24.53,73.37,6.58,244.48,rice
100.0,39.7,31.7,26.15,84.78,6.33,245.17,rice
104.1,49.1,46.2,25.48,85.18,6.38,237.13,rice
74.9,37.8,62.8,22.37,75.34,6.83,257.69,rice
79.5,47.2,40.2,22.98,78.83,6.17,230.17,rice
94.4,45.7,43.9,23.91,81.42,6.22,225.81,rice
87.0,46.9,30.5,22.03,86.12,6.17,237.57,rice
78.6,55.8,52.8,24.11,82.7,6.56,234.47,rice
84.3,53.0,36.2,24.43,87.29,6.06,234.36,rice
90.1,31.9,38.0,23.74,77.03,6.72,256.13,rice
101.8,61.6,39.7,25.98,83.56,6.05,224.75,rice
86.8,34.5,41.8,23.66,93.75,6.51,252.74,rice
