state,district,crop,year,area_harvested,production,yield
Punjab,Ludhiana,Maize,2015,35160.8,121758.3,3462.9
Punjab,Ludhiana,Sugarcane,2015,14385.0,1007280.9,70023.0
Punjab,Ludhiana,Chickpea,2015,39903.7,48534.9,1216.3
Punjab,Ludhiana,Rice,2015,18247.1,80975.2,4437.7
Punjab,Ludhiana,Potato,2015,36659.8,764569.5,20855.8
Punjab,Amritsar,Potato,2015,7041.6,175889.3,24978.6
Punjab,Amritsar,Sugarcane,2015,7047.2,575411.6,81651.1
Punjab,Amritsar,Onion,2015,35208.0,611277.8,17361.9
Punjab,Amritsar,Rice,2015,69859.8,291154.7,4167.7
Punjab,Amritsar,Cotton,2015,76177.5,143404.1,1882.5
Punjab,Jalandhar,Potato,2015,11888.5,270255.3,22732.5
Punjab,Jalandhar,Rice,2015,32007.9,118531.7,3703.2
Punjab,Jalandhar,Chickpea,2015,22148.5,27118.6,1224.4
Punjab,Jalandhar,Cotton,2015,34628.6,71258.7,2057.8
Punjab,Jalandhar,Banana,2015,75492.3,3711526.1,49164.3
Punjab,Patiala,Onion,2015,42176.2,609564.2,14452.8
Punjab,Patiala,Sugarcane,2015,65472.1,5048527.4,77109.6
Punjab,Patiala,Cotton,2015,78603.8,147971.7,1882.5
Punjab,Patiala,Chickpea,2015,56314.6,59806.1,1062.0
Punjab,Patiala,Maize,2015,64104.6,185627.7,2895.7
Punjab,Bathinda,Banana,2015,59688.1,2530739.6,42399.4
Punjab,Bathinda,Rice,2015,7014.9,26544.4,3784.0
Punjab,Bathinda,Maize,2015,7005.4,24049.5,3433.0
Punjab,Bathinda,Chickpea,2015,21727.2,25833.6,1189.0
Punjab,Bathinda,Groundnut,2015,21910.6,50795.3,2318.3
Maharashtra,Nashik,Groundnut,2015,8328.9,19261.4,2312.6
Maharashtra,Nashik,Potato,2015,71876.8,1851345.1,25757.2
Maharashtra,Nashik,Sugarcane,2015,20450.4,1400515.0,68483.5
Maharashtra,Nashik,Rice,2015,19951.1,73182.6,3668.1
Maharashtra,Nashik,Maize,2015,8644.1,26074.9,3016.5
Maharashtra,Pune,Groundnut,2015,8705.4,18850.7,2165.4
Maharashtra,Pune,Banana,2015,20944.7,841928.8,40197.7
Maharashtra,Pune,Potato,2015,66793.1,1534531.4,22974.4
Maharashtra,Pune,Chickpea,2015,7324.9,9619.8,1313.3
Maharashtra,Pune,Wheat,2015,53786.2,180608.7,3357.9
Maharashtra,Nagpur,Wheat,2015,29756.4,107852.1,3624.5
Maharashtra,Nagpur,Groundnut,2015,42338.3,99003.9,2338.4
Maharashtra,Nagpur,Rice,2015,75810.4,305735.8,4032.9
Maharashtra,Nagpur,Banana,2015,30382.7,1330968.9,43806.8
Maharashtra,Nagpur,Cotton,2015,76383.6,148940.4,1949.9
Maharashtra,Aurangabad,Sugarcane,2015,21473.7,1526022.0,71064.7
Maharashtra,Aurangabad,Wheat,2015,34419.0,128372.5,3729.7
Maharashtra,Aurangabad,Onion,2015,43986.7,815786.1,18546.2
Maharashtra,Aurangabad,Chickpea,2015,26408.6,29310.9,1109.9
Maharashtra,Aurangabad,Potato,2015,71306.9,1746341.6,24490.5
Maharashtra,Solapur,Wheat,2015,9541.3,31364.2,3287.2
Maharashtra,Solapur,Cotton,2015,25541.8,50667.3,1983.7
Maharashtra,Solapur,Sugarcane,2015,18158.5,1465343.7,80697.4
Maharashtra,Solapur,Banana,2015,43850.2,2075087.9,47322.2
Maharashtra,Solapur,Maize,2015,63377.7,215357.4,3398.0
Uttar Pradesh,Varanasi,Potato,2015,22891.4,555290.4,24257.6
Uttar Pradesh,Varanasi,Rice,2015,40925.8,146309.7,3575.0
Uttar Pradesh,Varanasi,Wheat,2015,19099.2,66900.7,3502.8
Uttar Pradesh,Varanasi,Banana,2015,40206.7,1768608.3,43987.9
Uttar Pradesh,Varanasi,Sugarcane,2015,15288.5,1111473.9,72700.0
Uttar Pradesh,Lucknow,Onion,2015,11932.6,231965.0,19439.6
Uttar Pradesh,Lucknow,Potato,2015,46225.4,1156379.2,25016.1
Uttar Pradesh,Lucknow,Maize,2015,42898.6,141376.6,3295.6
Uttar Pradesh,Lucknow,Rice,2015,13373.0,45529.7,3404.6
Uttar Pradesh,Lucknow,Banana,2015,73668.6,3236372.1,43931.5
Uttar Pradesh,Agra,Rice,2015,50781.0,205353.3,4043.9
Uttar Pradesh,Agra,Sugarcane,2015,9814.6,787510.7,80238.7
Uttar Pradesh,Agra,Wheat,2015,73373.7,226842.1,3091.6
Uttar Pradesh,Agra,Groundnut,2015,19743.3,40825.2,2067.8
Uttar Pradesh,Agra,Banana,2015,31926.2,1327424.4,41577.9
Uttar Pradesh,Kanpur,Onion,2015,36330.9,676699.3,18626.0
Uttar Pradesh,Kanpur,Wheat,2015,18603.4,58788.6,3160.1
Uttar Pradesh,Kanpur,Maize,2015,25539.9,77603.0,3038.5
Uttar Pradesh,Kanpur,Cotton,2015,8411.8,17138.2,2037.4
Uttar Pradesh,Kanpur,Groundnut,2015,28358.0,67597.0,2383.7
Uttar Pradesh,Prayagraj,Sugarcane,2015,22188.5,1711756.2,77146.1
Uttar Pradesh,Prayagraj,Groundnut,2015,52704.7,115644.7,2194.2
Uttar Pradesh,Prayagraj,Onion,2015,68540.2,1316019.8,19200.7
Uttar Pradesh,Prayagraj,Wheat,2015,14431.1,55061.9,3815.5
Uttar Pradesh,Prayagraj,Rice,2015,15704.9,53966.7,3436.3
Gujarat,Ahmedabad,Sugarcane,2015,6806.8,497538.3,73094.3
Gujarat,Ahmedabad,Maize,2015,69468.8,244481.5,3519.3
Gujarat,Ahmedabad,Groundnut,2015,21951.5,45237.7,2060.8
Gujarat,Ahmedabad,Wheat,2015,62891.1,230955.0,3672.3
Gujarat,Ahmedabad,Onion,2015,34764.9,601756.1,17309.3
Gujarat,Surat,Maize,2015,14416.8,41973.1,2911.4
Gujarat,Surat,Sugarcane,2015,35211.2,2734621.5,77663.4
Gujarat,Surat,Wheat,2015,19556.2,71059.4,3633.6
Gujarat,Surat,Rice,2015,44960.4,162464.4,3613.5
Gujarat,Surat,Potato,2015,70420.1,1599895.4,22719.3
Gujarat,Rajkot,Wheat,2015,50164.4,169415.2,3377.2
Gujarat,Rajkot,Sugarcane,2015,66198.0,5054535.1,76354.8
Gujarat,Rajkot,Chickpea,2015,52265.9,65985.7,1262.5
Gujarat,Rajkot,Banana,2015,70877.4,3047834.5,43001.5
Gujarat,Rajkot,Cotton,2015,17253.6,31037.5,1798.9
Gujarat,Vadodara,Sugarcane,2015,74315.9,6024158.3,81061.5
Gujarat,Vadodara,Wheat,2015,20813.8,83915.0,4031.7
Gujarat,Vadodara,Rice,2015,47681.8,180995.3,3795.9
Gujarat,Vadodara,Groundnut,2015,62952.4,152785.5,2427.0
Gujarat,Vadodara,Banana,2015,15908.7,798454.5,50189.8
Gujarat,Junagadh,Rice,2015,49437.9,206279.6,4172.5
Gujarat,Junagadh,Sugarcane,2015,24610.3,1781197.5,72376.1
Gujarat,Junagadh,Groundnut,2015,36638.4,77076.2,2103.7
Gujarat,Junagadh,Potato,2015,52823.8,1270998.7,24061.1
Gujarat,Junagadh,Banana,2015,8197.3,435095.5,53077.9
Karnataka,Bengaluru Rural,Rice,2015,10608.4,40013.8,3771.9
Karnataka,Bengaluru Rural,Onion,2015,78808.2,1335302.5,16943.7
Karnataka,Bengaluru Rural,Potato,2015,65494.1,1494378.9,22817.0
Karnataka,Bengaluru Rural,Wheat,2015,52469.9,183901.8,3504.9
Karnataka,Bengaluru Rural,Cotton,2015,34960.2,70346.9,2012.2
Karnataka,Belagavi,Maize,2015,31837.5,94563.7,2970.2
Karnataka,Belagavi,Onion,2015,56913.2,1061761.3,18655.8
Karnataka,Belagavi,Sugarcane,2015,47506.0,3626926.3,76346.7
Karnataka,Belagavi,Banana,2015,63247.0,2536400.8,40103.1
Karnataka,Belagavi,Rice,2015,42927.0,166131.8,3870.1
Karnataka,Mysuru,Onion,2015,27543.5,485572.6,17629.3
Karnataka,Mysuru,Wheat,2015,51090.6,173907.3,3403.9
Karnataka,Mysuru,Groundnut,2015,9636.5,21787.2,2260.9
Karnataka,Mysuru,Sugarcane,2015,31328.1,2505411.5,79973.3
Karnataka,Mysuru,Banana,2015,55512.4,2565883.1,46221.8
Karnataka,Hubballi,Sugarcane,2015,68062.4,4927357.0,72394.7
Karnataka,Hubballi,Groundnut,2015,17070.1,36231.3,2122.5
Karnataka,Hubballi,Wheat,2015,57234.0,241848.0,4225.6
Karnataka,Hubballi,Potato,2015,75902.0,1660121.0,21871.9
Karnataka,Hubballi,Maize,2015,73296.8,208331.5,2842.3
Karnataka,Dharwad,Wheat,2015,27080.1,98227.6,3627.3
Karnataka,Dharwad,Banana,2015,67895.5,2955606.5,43531.7
Karnataka,Dharwad,Potato,2015,20672.9,517426.1,25029.2
Karnataka,Dharwad,Maize,2015,75161.7,219321.8,2918.0
Karnataka,Dharwad,Groundnut,2015,35076.4,85354.9,2433.4
Rajasthan,Jaipur,Banana,2015,56554.3,2569425.9,45432.9
Rajasthan,Jaipur,Maize,2015,34515.5,107795.4,3123.1
Rajasthan,Jaipur,Wheat,2015,36760.0,125355.3,3410.1
Rajasthan,Jaipur,Chickpea,2015,28038.7,32146.4,1146.5
Rajasthan,Jaipur,Sugarcane,2015,12250.9,813873.8,66433.8
Rajasthan,Jodhpur,Maize,2015,30953.0,89800.8,2901.2
Rajasthan,Jodhpur,Rice,2015,60313.1,215896.8,3579.6
Rajasthan,Jodhpur,Onion,2015,38101.6,658818.6,17291.1
